SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS,SupAntR,SupAntA,SupAntS,InfAntR,InfAntA,InfAntS
-4.20157,-65.1317,296.713,50.656,-59.4784,307.769,-0.388533,-62.2035,273.86,55.9389,-64.6933,282.043,3.46438,-58.0758,251.177,56.3055,-66.6174,255.661,25.5356,-15.5649,284.089,30.9178,-13.0904,268.876
-0.388533,-62.2035,273.86,55.9389,-64.6933,282.043,3.46438,-58.0758,251.177,56.3055,-66.6174,255.661,4.09171,-55.0276,231.58,56.4061,-65.5584,229.746,32.229,-12.7136,265.646,36.0693,-10.8777,248.302
3.46438,-58.0758,251.177,56.3055,-66.6174,255.661,4.09171,-55.0276,231.58,56.4061,-65.5584,229.746,3.27645,-51.3311,212.575,54.6789,-61.3697,203.65,35.7048,-10.167,245.647,36.289,-7.04689,228.539
4.09171,-55.0276,231.58,56.4061,-65.5584,229.746,3.27645,-51.3311,212.575,54.6789,-61.3697,203.65,1.7687,-46.2274,193.15,51.0617,-52.8128,182.169,36.8209,-6.25654,225.239,33.8845,-2.80865,206.077
3.27645,-51.3311,212.575,54.6789,-61.3697,203.65,1.7687,-46.2274,193.15,51.0617,-52.8128,182.169,3.93611,-43.241,168.67,42.9912,-44.1135,158.76,33.1559,-2.5356,202.636,28.1873,1.30175,182.973
1.7687,-46.2274,193.15,51.0617,-52.8128,182.169,3.93611,-43.241,168.67,42.9912,-44.1135,158.76,-3.09501,-40.8618,142.793,36.5477,-34.793,134.719,27.4639,2.08722,178.81,20.7473,5.57828,159.172
3.93611,-43.241,168.67,42.9912,-44.1135,158.76,-3.09501,-40.8618,142.793,36.5477,-34.793,134.719,-20.4225,-34.8124,123.531,45.3459,-32.214,112.842,19.5168,7.10613,154.745,12.1842,12.1866,133.794
-3.09501,-40.8618,142.793,36.5477,-34.793,134.719,-20.4225,-34.8124,123.531,45.3459,-32.214,112.842,-36.1184,-29.1295,97.5327,45.5128,-23.5041,85.7794,10.9407,13.6169,128.245,5.34193,17.2622,104.782
-20.4225,-34.8124,123.531,45.3459,-32.214,112.842,-36.1184,-29.1295,97.5327,45.5128,-23.5041,85.7794,-41.6538,-23.917,64.5232,44.1697,-18.3925,57.3216,4.43002,18.8613,98.6471,0.18632,21.0557,72.4526
-1.6305,11.9416,9.03874,38.2294,-5.01518,-17.1202,-9.45367,2.97915,-3.84074,25.8307,-9.00791,-33.9732,-20.5478,-3.12039,-14.9775,15.0424,-12.3181,-51.5949,10.4301,33.4357,-24.0412,1.77636,25.3803,-34.3377
-9.45367,2.97915,-3.84074,25.8307,-9.00791,-33.9732,-20.5478,-3.12039,-14.9775,15.0424,-12.3181,-51.5949,-31.5379,-11.711,-28.0073,0.564763,-15.1621,-68.1037,-2.08148,22.8352,-37.3952,-12.2682,29.5173,-47.7798
-20.5478,-3.12039,-14.9775,15.0424,-12.3181,-51.5949,-31.5379,-11.711,-28.0073,0.564763,-15.1621,-68.1037,-40.4556,-20.6737,-44.2741,-11.0267,-15.0793,-81.2999,-15.4876,24.5084,-50.9695,-27.6222,26.3003,-59.991
-31.5379,-11.711,-28.0073,0.564763,-15.1621,-68.1037,-40.4556,-20.6737,-44.2741,-11.0267,-15.0793,-81.2999,-54.9473,-30.2397,-63.1738,-22.4851,-16.0213,-94.1591,-31.6409,21.3847,-62.9674,-42.7868,22.5534,-71.7621
-40.4556,-20.6737,-44.2741,-11.0267,-15.0793,-81.2999,-54.9473,-30.2397,-63.1738,-22.4851,-16.0213,-94.1591,-65.5338,-36.5168,-83.6189,-31.8615,-17.1658,-106.766,-47.8758,19.1661,-75.3047,-57.0635,17.1288,-85.7129
-54.9473,-30.2397,-63.1738,-22.4851,-16.0213,-94.1591,-65.5338,-36.5168,-83.6189,-31.8615,-17.1658,-106.766,-75.7347,-35.5944,-108.285,-38.6402,-14.6708,-119.548,-61.5808,15.0876,-90.5884,-69.2194,12.1642,-103.005
-65.5338,-36.5168,-83.6189,-31.8615,-17.1658,-106.766,-75.7347,-35.5944,-108.285,-38.6402,-14.6708,-119.548,-74.4055,-39.9117,-135.076,-44.704,-13.3765,-135.691,-70.3125,10.2107,-107.678,-72.874,9.01602,-123.663
-75.7347,-35.5944,-108.285,-38.6402,-14.6708,-119.548,-74.4055,-39.9117,-135.076,-44.704,-13.3765,-135.691,-74.0673,-35.424,-164.553,-44.1027,-15.8854,-158.696,-72.967,10.1709,-129.72,-76.4343,8.15729,-144.299
-74.4055,-39.9117,-135.076,-44.704,-13.3765,-135.691,-74.0673,-35.424,-164.553,-44.1027,-15.8854,-158.696,-74.5237,-32.224,-195.31,-35.8033,-5.39609,-179.66,-75.1081,10.3664,-151.432,-74.1316,12.5348,-168.479
-74.0673,-35.424,-164.553,-44.1027,-15.8854,-158.696,-74.5237,-32.224,-195.31,-35.8033,-5.39609,-179.66,-67.4375,-22.6748,-224.241,-23.9344,0.847108,-204.913,-73.3315,14.699,-176.29,-69.0476,18.7488,-195.437
-74.5237,-32.224,-195.31,-35.8033,-5.39609,-179.66,-67.4375,-22.6748,-224.241,-23.9344,0.847108,-204.913,-59.8796,-11.3482,-252.13,-9.5951,10.8996,-231.467,-67.5676,20.8532,-203.968,-60.5027,27.2723,-218.568
-67.4375,-22.6748,-224.241,-23.9344,0.847108,-204.913,-59.8796,-11.3482,-252.13,-9.5951,10.8996,-231.467,-51.5973,0.7013,-276.331,-4.00061,16.9601,-255.073,-55.4624,31.718,-228.226,-48.6637,38.2018,-244.197
-10.2001,14.9517,433.773,68.7861,10.3475,428.752,-5.46166,-1.72006,414.336,60.781,-2.82004,408.329,-6.66859,-12.8268,391.035,54.3802,-14.1996,387.672,27.2909,39.7406,397.064,24.0287,33.9351,377.796
-5.46166,-1.72006,414.336,60.781,-2.82004,408.329,-6.66859,-12.8268,391.035,54.3802,-14.1996,387.672,-5.11869,-24.4785,372.272,54.0366,-24.5051,369.574,24.8046,31.9995,375.249,24.502,25.3094,355.199
-6.66859,-12.8268,391.035,54.3802,-14.1996,387.672,-5.11869,-24.4785,372.272,54.0366,-24.5051,369.574,-6.97586,-34.8908,348.163,55.0444,-36.294,347.02,24.7187,23.3179,353.03,25.7717,17.8096,335.975
-5.11869,-24.4785,372.272,54.0366,-24.5051,369.574,-6.97586,-34.8908,348.163,55.0444,-36.294,347.02,-8.28584,-42.0928,324.38,56.2312,-45.8062,320.26,25.5839,18.4733,331.32,25.4855,12.5348,316.354
-6.97586,-34.8908,348.163,55.0444,-36.294,347.02,-8.28584,-42.0928,324.38,56.2312,-45.8062,320.26,-8.55145,-47.5443,295.897,54.238,-51.5366,290.814,25.29,12.2154,311.968,24.9192,10.1351,296.594
-8.28584,-42.0928,324.38,56.2312,-45.8062,320.26,-8.55145,-47.5443,295.897,54.238,-51.5366,290.814,-9.32328,-48.7925,265.242,50.5697,-52.2905,263.264,25.5267,10.0581,290.533,24.7058,10.929,276.802
-8.55145,-47.5443,295.897,54.238,-51.5366,290.814,-9.32328,-48.7925,265.242,50.5697,-52.2905,263.264,-9.95957,-48.3186,235.571,48.8356,-51.0966,235.526,23.8972,11.1168,268.342,23.0697,13.3818,255.022
-9.32328,-48.7925,265.242,50.5697,-52.2905,263.264,-9.95957,-48.3186,235.571,48.8356,-51.0966,235.526,-8.11943,-46.4256,209.499,44.049,-49.592,209.818,23.0643,13.9425,244.277,22.6717,13.0955,228.157
-9.95957,-48.3186,235.571,48.8356,-51.0966,235.526,-8.11943,-46.4256,209.499,44.049,-49.592,209.818,-6.64242,-42.7829,185.963,40.6029,-45.7364,184.45,21.4701,13.0354,215.925,21.2645,14.3005,196.212
-8.11943,-46.4256,209.499,44.049,-49.592,209.818,-6.64242,-42.7829,185.963,40.6029,-45.7364,184.45,0.38665,-40.6841,153.514,37.5668,-43.9988,150.528,22.1078,14.6511,188.795,21.5166,15.3845,165.721
-6.64242,-42.7829,185.963,40.6029,-45.7364,184.45,0.38665,-40.6841,153.514,37.5668,-43.9988,150.528,-20.1463,-39.5364,120.986,54.0627,-44.1326,116.61,21.9158,15.5456,160.762,20.9287,16.1801,133.825
0.38665,-40.6841,153.514,37.5668,-43.9988,150.528,-20.1463,-39.5364,120.986,54.0627,-44.1326,116.61,-26.8297,-38.2367,89.1719,56.2949,-44.3321,84.273,21.7318,17.2076,124.7,19.7231,18.1871,99.9512
-20.1463,-39.5364,120.986,54.0627,-44.1326,116.61,-26.8297,-38.2367,89.1719,56.2949,-44.3321,84.273,-33.1557,-32.5547,50.4392,58.1855,-35.0725,44.2522,19.4624,19.4567,92.3439,17.9363,18.4343,63.2549
-26.8297,-38.2367,89.1719,56.2949,-44.3321,84.273,-33.1557,-32.5547,50.4392,58.1855,-35.0725,44.2522,-30.5611,-24.9063,14.0059,49.0624,-25.1384,9.69736,15.6425,21.6756,50.9599,13.0602,23.1129,26.3308
9.5028,-55.0941,218.945,47.2705,-58.9341,228.263,12.3241,-63.2043,210.619,45.3177,-68.7281,220.5,14.4023,-70.0429,203.218,44.9077,-77.8296,209.022,34.9822,-45.5633,202.172,36.4799,-47.7404,196.056
12.3241,-63.2043,210.619,45.3177,-68.7281,220.5,14.4023,-70.0429,203.218,44.9077,-77.8296,209.022,16.0813,-74.7443,194.128,43.6659,-84.3748,195.816,38.006,-51.3595,193.66,38.6536,-52.8197,186.055
14.4023,-70.0429,203.218,44.9077,-77.8296,209.022,16.0813,-74.7443,194.128,43.6659,-84.3748,195.816,15.748,-78.9407,185.036,42.1125,-89.0602,180.524,39.4048,-55.5195,183.099,38.763,-57.3341,176.545
16.0813,-74.7443,194.128,43.6659,-84.3748,195.816,15.748,-78.9407,185.036,42.1125,-89.0602,180.524,13.5854,-80.5348,174.004,39.2405,-89.3422,162.729,38.6865,-57.8205,173.15,36.4797,-58.322,167.158
15.748,-78.9407,185.036,42.1125,-89.0602,180.524,13.5854,-80.5348,174.004,39.2405,-89.3422,162.729,8.67836,-81.3772,162.463,34.3701,-84.7932,147.5,34.9775,-57.4719,164.589,31.9306,-56.5669,157.609
13.5854,-80.5348,174.004,39.2405,-89.3422,162.729,8.67836,-81.3772,162.463,34.3701,-84.7932,147.5,2.20361,-79.3397,150.813,28.1857,-78.2651,136.889,28.4444,-54.1997,156.176,22.9753,-52.9071,150.326
8.67836,-81.3772,162.463,34.3701,-84.7932,147.5,2.20361,-79.3397,150.813,28.1857,-78.2651,136.889,-4.30512,-76.821,136.874,23.7054,-71.6855,126.601,20.1063,-48.5623,147.927,14.7235,-46.8552,143.396
2.20361,-79.3397,150.813,28.1857,-78.2651,136.889,-4.30512,-76.821,136.874,23.7054,-71.6855,126.601,-7.61263,-72.1919,120.953,21.5666,-65.0663,116.006,10.1647,-43.2744,140.682,4.457,-41.2047,134.314
-4.30512,-76.821,136.874,23.7054,-71.6855,126.601,-7.61263,-72.1919,120.953,21.5666,-65.0663,116.006,-8.57742,-65.7085,104.286,19.576,-59.8959,105.34,2.13658,-37.8907,129.761,0.842416,-35.9975,122.028
-7.61263,-72.1919,120.953,21.5666,-65.0663,116.006,-8.57742,-65.7085,104.286,19.576,-59.8959,105.34,-9.57701,-61.69,90.7389,20.5255,-54.0214,94.636,0.667251,-32.2742,116.365,0.520201,-30.1847,107.085
-8.57742,-65.7085,104.286,19.576,-59.8959,105.34,-9.57701,-61.69,90.7389,20.5255,-54.0214,94.636,-8.63801,-55.4398,73.8761,27.5836,-48.4571,80.5142,0.449768,-27.0782,101.985,1.44475,-24.8487,91.6162
-9.57701,-61.69,90.7389,20.5255,-54.0214,94.636,-8.63801,-55.4398,73.8761,27.5836,-48.4571,80.5142,-5.59889,-48.4037,60.8887,32.8992,-44.4678,66.3957,2.89135,-21.5638,86.5868,5.42981,-18.39,76.5511
-8.63801,-55.4398,73.8761,27.5836,-48.4571,80.5142,-5.59889,-48.4037,60.8887,32.8992,-44.4678,66.3957,-2.08123,-44.1331,45.0818,37.5971,-40.7169,50.1527,8.147,-15.0293,69.0565,11.549,-12.6341,59.1649
-5.59889,-48.4037,60.8887,32.8992,-44.4678,66.3957,-2.08123,-44.1331,45.0818,37.5971,-40.7169,50.1527,1.81195,-37.8834,27.5468,40.3042,-37.992,31.3666,13.9234,-12.1779,51.0963,16.6022,-10.6306,39.8144
-36.5186,-21.4406,352.404,22.3444,-20.3946,353.421,-33.9912,-25.6183,333.182,20.5848,-21.1372,336.33,-29.3653,-26.9983,312.453,20.905,-23.0889,318.908,-7.97282,12.9383,331.687,-7.56274,13.2925,317.635
-33.9912,-25.6183,333.182,20.5848,-21.1372,336.33,-29.3653,-26.9983,312.453,20.905,-23.0889,318.908,-28.5245,-26.9013,291.265,20.9597,-25.5187,300.327,-7.39628,14.7775,314.798,-5.66039,15.3211,301.444
-29.3653,-26.9983,312.453,20.905,-23.0889,318.908,-28.5245,-26.9013,291.265,20.9597,-25.5187,300.327,-25.2513,-25.9079,270.293,27.9693,-26.4508,281.923,-4.59786,15.494,298.154,-0.49267,15.7812,283.64
-28.5245,-26.9013,291.265,20.9597,-25.5187,300.327,-25.2513,-25.9079,270.293,27.9693,-26.4508,281.923,-23.2467,-24.021,252.786,32.0943,-29.4153,261.711,0.561935,16.5817,280.038,3.97956,16.8611,265.51
-25.2513,-25.9079,270.293,27.9693,-26.4508,281.923,-23.2467,-24.021,252.786,32.0943,-29.4153,261.711,-19.9228,-23.1901,233.351,34.7613,-32.1021,240.735,5.00294,17.5571,262.434,8.75136,18.5269,246.162
-23.2467,-24.021,252.786,32.0943,-29.4153,261.711,-19.9228,-23.1901,233.351,34.7613,-32.1021,240.735,-17.0671,-24.3052,214.515,33.7628,-34.2618,216.149,9.66128,18.6045,243.157,12.9887,19.4746,227.167
-19.9228,-23.1901,233.351,34.7613,-32.1021,240.735,-17.0671,-24.3052,214.515,33.7628,-34.2618,216.149,-17.2209,-22.2661,197.76,31.8479,-32.8456,190.934,13.5259,19.2725,224.673,13.6331,19.5502,207.139
-17.0671,-24.3052,214.515,33.7628,-34.2618,216.149,-17.2209,-22.2661,197.76,31.8479,-32.8456,190.934,-21.0,-23.7844,178.125,29.0001,-30.1338,167.136,14.7456,19.5702,203.721,12.7648,20.6463,185.81
-17.2209,-22.2661,197.76,31.8479,-32.8456,190.934,-21.0,-23.7844,178.125,29.0001,-30.1338,167.136,-21.1859,-27.0326,156.27,19.7847,-25.5101,141.749,11.7271,20.7429,181.144,6.29233,20.5766,163.673
-21.0,-23.7844,178.125,29.0001,-30.1338,167.136,-21.1859,-27.0326,156.27,19.7847,-25.5101,141.749,-26.0048,-28.3286,129.627,11.3499,-19.8979,117.159,5.12736,20.6312,160.309,-4.01632,21.5871,139.977
-21.1859,-27.0326,156.27,19.7847,-25.5101,141.749,-26.0048,-28.3286,129.627,11.3499,-19.8979,117.159,-43.4796,-30.3274,104.801,14.9934,-15.3914,91.0823,-6.15369,22.4824,137.781,-15.5783,23.7844,118.114
-26.0048,-28.3286,129.627,11.3499,-19.8979,117.159,-43.4796,-30.3274,104.801,14.9934,-15.3914,91.0823,-52.6646,-27.9681,73.8517,13.5277,-10.9917,71.5202,-17.7934,24.5586,113.138,-27.1628,25.6592,91.7642
-43.4796,-30.3274,104.801,14.9934,-15.3914,91.0823,-52.6646,-27.9681,73.8517,13.5277,-10.9917,71.5202,-58.0354,-23.4656,41.8283,10.8553,-8.20537,39.1537,-29.7129,27.4243,86.6226,-33.1201,30.6772,64.5042
-52.6646,-27.9681,73.8517,13.5277,-10.9917,71.5202,-58.0354,-23.4656,41.8283,10.8553,-8.20537,39.1537,-51.4777,-11.8517,12.3432,10.3882,-0.238714,13.9168,-32.9671,32.8417,56.1649,-30.8426,37.5587,31.8142
-30.4585,-49.9207,336.63,22.899,-47.3137,334.826,-24.8608,-57.9043,311.636,20.9937,-51.4272,317.446,-21.6817,-61.7352,289.289,23.7811,-54.547,301.001,-4.9053,-15.8203,310.901,-3.35454,-14.7844,296.034
-24.8608,-57.9043,311.636,20.9937,-51.4272,317.446,-21.6817,-61.7352,289.289,23.7811,-54.547,301.001,-18.2197,-61.634,265.794,29.9307,-57.5325,284.762,-2.44612,-15.6036,292.763,2.19435,-15.5368,278.113
-21.6817,-61.7352,289.289,23.7811,-54.547,301.001,-18.2197,-61.634,265.794,29.9307,-57.5325,284.762,-10.8924,-57.2417,242.562,36.9736,-60.1285,267.136,3.69125,-16.1525,274.664,11.4103,-14.8635,261.728
-18.2197,-61.634,265.794,29.9307,-57.5325,284.762,-10.8924,-57.2417,242.562,36.9736,-60.1285,267.136,-2.33825,-49.8284,224.706,46.5072,-64.9448,245.951,15.5349,-15.0115,259.342,25.3787,-14.8158,244.705
-10.8924,-57.2417,242.562,36.9736,-60.1285,267.136,-2.33825,-49.8284,224.706,46.5072,-64.9448,245.951,3.59137,-46.4118,209.655,53.7507,-67.0441,219.773,28.2888,-15.4267,241.841,35.7336,-13.7265,228.363
-2.33825,-49.8284,224.706,46.5072,-64.9448,245.951,3.59137,-46.4118,209.655,53.7507,-67.0441,219.773,6.91755,-45.9529,196.353,57.9284,-66.1983,191.036,37.9259,-14.203,222.442,42.5503,-12.597,208.156
3.59137,-46.4118,209.655,53.7507,-67.0441,219.773,6.91755,-45.9529,196.353,57.9284,-66.1983,191.036,7.67887,-47.6872,180.477,52.637,-61.5565,163.845,42.9837,-12.6337,201.27,42.1919,-11.753,186.088
6.91755,-45.9529,196.353,57.9284,-66.1983,191.036,7.67887,-47.6872,180.477,52.637,-61.5565,163.845,5.89659,-48.2611,160.165,43.9737,-53.285,140.819,43.7328,-10.1355,180.661,37.0498,-8.42785,163.625
7.67887,-47.6872,180.477,52.637,-61.5565,163.845,5.89659,-48.2611,160.165,43.9737,-53.285,140.819,-4.0525,-48.2257,133.584,30.5575,-46.3484,115.836,34.7991,-8.47197,159.546,24.4632,-3.56148,141.957
5.89659,-48.2611,160.165,43.9737,-53.285,140.819,-4.0525,-48.2257,133.584,30.5575,-46.3484,115.836,-24.646,-44.2688,108.571,28.0736,-32.5281,92.2512,20.1758,-3.09934,138.752,7.40727,1.89341,121.975
-4.0525,-48.2257,133.584,30.5575,-46.3484,115.836,-24.646,-44.2688,108.571,28.0736,-32.5281,92.2512,-34.7599,-44.0494,79.6681,23.3223,-27.7309,71.5242,4.02438,4.26024,115.587,-6.31645,8.90649,98.3751
-24.646,-44.2688,108.571,28.0736,-32.5281,92.2512,-34.7599,-44.0494,79.6681,23.3223,-27.7309,71.5242,-43.4367,-36.973,47.185,22.3386,-18.0066,49.6206,-8.89225,11.5541,91.8358,-13.2598,16.4584,74.2581
