 ,SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS
 ,-0.073516841,-0.009507918,0.060012071,0.071887586,0.018744893,0.062317689,-0.072702189,-0.014126449,-0.001153243,0.072702201,0.014126362,0.001152375,-0.064977456,-0.017538763,-0.079507787,0.066606699,0.008301875,-0.042821104
 ,-0.080932359,-0.012632631,0.061794411,0.073945163,0.017460857,0.064250241,-0.072704358,-0.016267259,-0.021664951,0.067452538,0.011256904,0.017411879,-0.068193123,-0.00467824,-0.079883378,0.080432139,0.004860369,-0.041908203
 ,-0.086115483,-0.018185303,0.043741945,0.060928722,0.010691397,0.084739011,-0.081382566,-0.0060268,-0.017337335,0.074546141,0.003980537,0.02250394,-0.062484381,0.01205127,-0.089325294,0.094507566,-0.002511102,-0.044322266
 ,-0.101269174,-0.012639277,0.053038135,0.065007792,-0.0019678,0.095523489,-0.081116804,0.00663855,-0.023727328,0.086293964,-0.008890258,0.02426234,-0.062727802,0.028295991,-0.083653875,0.093812024,-0.011437206,-0.065442761
 ,-0.099423408,-0.003871601,0.051820616,0.080832612,-0.020591919,0.103492481,-0.079623436,0.019447592,-0.012704032,0.088927525,-0.023334292,0.006904401,-0.078715218,0.039434088,-0.064596516,0.088001924,-0.011083868,-0.08491695
 ,-0.089265663,0.00587652,0.071232113,0.097305886,-0.041479379,0.092936977,-0.088260342,0.027999867,0.013791555,0.096281325,-0.027919204,-0.008701433,-0.097546147,0.041004655,-0.04881436,0.081484942,-0.005482458,-0.120444852
 ,-0.08300428,0.011625387,0.100905954,0.117398337,-0.049099805,0.076479743,-0.093088179,0.025747908,0.032919198,0.101330237,-0.024734669,-0.044867777,-0.111672431,0.032648644,-0.03121819,0.069036315,0.003812535,-0.134218929
 ,-0.074734663,0.004698961,0.133213625,0.133865824,-0.049466125,0.049752391,-0.094674564,0.012103079,0.064397663,0.099216185,-0.018836512,-0.046116582,-0.127936618,0.019552465,-0.058571745,0.064263837,0.031948133,-0.142675352
 ,-0.063240217,-0.010868173,0.186872077,0.144979362,-0.044094248,0.068190657,-0.098960389,-0.002868266,0.054815038,0.107443981,0.010443462,-0.035503959,-0.13566857,0.016949319,-0.123790453,0.045445833,0.030437906,-0.15058336
 ,-0.075707707,-0.041988368,0.214547983,0.162100974,-0.026651268,0.110487001,-0.118001017,-0.019155549,0.008767765,0.090669842,-0.003614681,-0.022101668,-0.204840301,0.022516318,-0.151921849,0.145778208,0.068893547,-0.159779232
 ,-0.116184096,-0.072726174,0.215542571,0.146552824,-0.053158708,0.17667495,-0.225523205,-0.020257237,0.013218707,0.21593962,0.038136208,0.003325498,-0.242109275,0.044352878,-0.209449034,0.221324132,0.063653032,-0.199312692
 ,-0.283308551,-0.094274456,0.277177531,0.270127618,-0.021070003,0.264774992,-0.304101539,-0.013276527,-0.001968016,0.276877866,0.01091895,0.010739325,-0.337075622,0.051716821,-0.3027056,0.377480227,0.065985215,-0.248018232
TrXFiducials022Closed, , , , , , , , , , , , , , , , , , 
 ,-0.510612459,0.111741983,0.327094155,0.465594518,0.157158255,0.413844612,-0.488103488,-0.022707866,-0.043375228,0.488103488,0.022708406,0.043375228,-0.481054963,-0.152882938,-0.394200066,0.526072904,-0.11601784,-0.346738701
 ,-0.376624046,0.079246291,0.239601923,0.343529139,0.112750122,0.303598206,-0.371424311,-0.016784566,-0.019203464,0.371539383,0.010411018,0.015809043,-0.371486426,-0.104432298,-0.281498037,0.404466262,-0.081190568,-0.258307671
 ,-0.30194859,0.063844964,0.202481551,0.273222025,0.084898617,0.229586732,-0.301996677,-0.00400815,-0.000575653,0.298712602,0.0139846,0.017377333,-0.278868822,-0.089410136,-0.226418558,0.310879463,-0.069309894,-0.222451405
 ,-0.24482259,0.057187308,0.185022245,0.22817085,0.071354648,0.199158275,-0.226611911,-0.010057498,0.007195439,0.237750934,0.005769263,0.010319142,-0.227771831,-0.073032516,-0.196282138,0.233284548,-0.051221205,-0.205412962
 ,-0.182968387,0.033885477,0.170070443,0.197639041,0.046857624,0.172630735,-0.183919097,-0.017730968,0.003293367,0.193978241,0.000146317,-0.004190564,-0.199782166,-0.041928415,-0.157247099,0.17505237,-0.021230034,-0.184556882
 ,-0.149108825,0.005334203,0.149058126,0.176257031,0.020726368,0.142614536,-0.16276677,-0.015499558,0.010834378,0.159962044,0.002321542,-0.012679074,-0.164398735,-0.015179434,-0.138138964,0.140055255,0.002296878,-0.151689002
 ,-0.127032673,-0.015520851,0.138708289,0.150753508,-0.000181485,0.118469277,-0.128437374,-0.015245307,0.010480706,0.133618903,-0.000202714,-0.001182378,-0.137208791,0.004871192,-0.126035318,0.108306428,0.026279165,-0.140440576
