SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS,SupAntR,SupAntA,SupAntS,InfAntR,InfAntA,InfAntS
-26.7596,-117.68,-150.228,32.1799,-120.822,-151.822,-26.2272,-107.939,-184.995,30.4101,-110.1,-182.221,-23.3132,-94.888,-213.757,32.9557,-93.8094,-214.046,4.70646,-49.9098,-158.108,3.50423,-44.9759,-175.249
-26.2272,-107.939,-184.995,30.4101,-110.1,-182.221,-23.3132,-94.888,-213.757,32.9557,-93.8094,-214.046,-21.0066,-79.2119,-245.084,31.3351,-75.8817,-243.96,2.78256,-41.0045,-183.859,3.29703,-32.0592,-203.469
-23.3132,-94.888,-213.757,32.9557,-93.8094,-214.046,-21.0066,-79.2119,-245.084,31.3351,-75.8817,-243.96,-41.0517,-62.1876,-270.633,48.9246,-59.7808,-270.2,3.63558,-26.8664,-212.63,1.40405,-16.0336,-234.963
-21.0066,-79.2119,-245.084,31.3351,-75.8817,-243.96,-41.0517,-62.1876,-270.633,48.9246,-59.7808,-270.2,-37.7913,-52.6023,-301.516,46.2694,-47.1751,-299.123,3.34354,-10.0827,-244.231,3.19692,1.34904,-269.577
-41.0517,-62.1876,-270.633,48.9246,-59.7808,-270.2,-37.7913,-52.6023,-301.516,46.2694,-47.1751,-299.123,-43.0783,-46.9748,-333.664,54.3378,-39.4554,-332.405,2.84333,7.19442,-281.561,2.70152,14.6735,-307.751
-37.7913,-52.6023,-301.516,46.2694,-47.1751,-299.123,-43.0783,-46.9748,-333.664,54.3378,-39.4554,-332.405,-37.7482,-31.9152,-362.866,47.2228,-25.4893,-364.143,1.98879,18.2929,-322.327,3.65873,21.9633,-348.383
-43.0783,-46.9748,-333.664,54.3378,-39.4554,-332.405,-37.7482,-31.9152,-362.866,47.2228,-25.4893,-364.143,-40.1623,-30.7175,-396.071,55.9199,-27.7013,-391.366,4.1491,22.8168,-363.762,5.21087,19.0749,-389.977
-37.7482,-31.9152,-362.866,47.2228,-25.4893,-364.143,-40.1623,-30.7175,-396.071,55.9199,-27.7013,-391.366,-37.0208,-31.2247,-426.285,59.0614,-28.2084,-421.58,6.30269,16.2823,-405.475,8.56083,6.55683,-430.759
-61.0934,-46.5269,340.322,-5.59944,-34.8684,351.103,-58.4195,-49.8125,320.95,-2.92555,-38.1539,331.73,-52.7893,-52.9514,298.367,-3.20797,-41.5861,315.568,-35.6103,-7.43734,326.959,-34.2174,-5.58564,311.971
-58.4195,-49.8125,320.95,-2.92555,-38.1539,331.73,-52.7893,-52.9514,298.367,-3.20797,-41.5861,315.568,-46.9375,-51.2519,275.73,3.15523,-43.3507,300.012,-35.3838,-5.58295,306.719,-31.0212,-6.22576,295.637
