SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS
-38.6579,-58.0574,264.396,11.7653,-70.8559,270.262,-38.3862,-52.0783,248.872,11.4884,-67.1911,242.793,-40.8958,-48.5636,231.952,7.4895,-61.1273,212.593,TrXFiducials020Closed
-38.3862,-52.0783,248.872,11.4884,-67.1911,242.793,-40.8958,-48.5636,231.952,7.4895,-61.1273,212.593,-45.5209,-46.8462,215.99,-0.547553,-54.0227,190.356,TrXFiducials020Closed
-40.8958,-48.5636,231.952,7.4895,-61.1273,212.593,-45.5209,-46.8462,215.99,-0.547553,-54.0227,190.356,-53.2361,-45.1183,187.467,-8.65482,-42.2431,167.959,TrXFiducials020Closed
-45.5209,-46.8462,215.99,-0.547553,-54.0227,190.356,-53.2361,-45.1183,187.467,-8.65482,-42.2431,167.959,-61.1647,-40.8379,148.89,-22.0458,-37.9245,143.103,TrXFiducials020Closed
-53.2361,-45.1183,187.467,-8.65482,-42.2431,167.959,-61.1647,-40.8379,148.89,-22.0458,-37.9245,143.103,-77.4442,-33.0258,118.766,-11.7148,-24.3316,117.293,TrXFiducials020Closed
-61.1647,-40.8379,148.89,-22.0458,-37.9245,143.103,-77.4442,-33.0258,118.766,-11.7148,-24.3316,117.293,-79.9137,-23.406,85.613,-10.9131,-20.5324,87.1222,TrXFiducials020Closed
-77.4442,-33.0258,118.766,-11.7148,-24.3316,117.293,-79.9137,-23.406,85.613,-10.9131,-20.5324,87.1222,-83.8299,-15.687,49.8956,1.03504,-13.9924,56.3906,TrXFiducials020Closed
-33.0082,-23.6642,-17.2122,27.28,-20.8594,-11.8547,-31.6181,-31.9675,-40.0915,28.6701,-29.1627,-34.734,-31.1828,-40.0068,-61.7576,31.015,-37.7301,-58.8265,TrXFiducials022Closed
-31.6181,-31.9675,-40.0915,28.6701,-29.1627,-34.734,-31.1828,-40.0068,-61.7576,31.015,-37.7301,-58.8265,-31.188,-47.3443,-83.7158,33.7715,-45.3986,-81.7744,TrXFiducials022Closed
-31.1828,-40.0068,-61.7576,31.015,-37.7301,-58.8265,-31.188,-47.3443,-83.7158,33.7715,-45.3986,-81.7744,-28.687,-56.5795,-108.138,35.0872,-54.4059,-107.709,TrXFiducials022Closed
-31.188,-47.3443,-83.7158,33.7715,-45.3986,-81.7744,-28.687,-56.5795,-108.138,35.0872,-54.4059,-107.709,-28.8463,-65.2283,-136.083,34.4738,-62.2328,-137.337,TrXFiducials022Closed
-28.687,-56.5795,-108.138,35.0872,-54.4059,-107.709,-28.8463,-65.2283,-136.083,34.4738,-62.2328,-137.337,-31.5043,-69.2828,-162.983,31.3026,-65.8146,-167.559,TrXFiducials022Closed
-28.8463,-65.2283,-136.083,34.4738,-62.2328,-137.337,-31.5043,-69.2828,-162.983,31.3026,-65.8146,-167.559,-31.8219,-69.2205,-191.975,27.4285,-65.8194,-194.612,TrXFiducials022Closed
-31.5043,-69.2828,-162.983,31.3026,-65.8146,-167.559,-31.8219,-69.2205,-191.975,27.4285,-65.8194,-194.612,-33.8051,-64.6722,-222.841,21.7054,-59.8319,-226.098,TrXFiducials022Closed
-31.8219,-69.2205,-191.975,27.4285,-65.8194,-194.612,-33.8051,-64.6722,-222.841,21.7054,-59.8319,-226.098,-31.0876,-54.7209,-253.937,12.5359,-48.4607,-258.303,TrXFiducials022Closed
-33.8051,-64.6722,-222.841,21.7054,-59.8319,-226.098,-31.0876,-54.7209,-253.937,12.5359,-48.4607,-258.303,-40.7433,-40.3712,-285.511,14.8206,-31.9677,-287.913,TrXFiducials022Closed
-31.0876,-54.7209,-253.937,12.5359,-48.4607,-258.303,-40.7433,-40.3712,-285.511,14.8206,-31.9677,-287.913,-48.7351,-32.0217,-312.253,15.5034,-21.9904,-314.55,TrXFiducials022Closed
-40.7433,-40.3712,-285.511,14.8206,-31.9677,-287.913,-48.7351,-32.0217,-312.253,15.5034,-21.9904,-314.55,-57.9851,-25.68,-345.152,20.5469,-14.8342,-348.724,TrXFiducials022Closed
-39.0944,-52.4695,-3.9821,11.1113,-48.7712,3.2164,-34.9621,-59.8082,-22.36,15.2436,-56.1099,-15.1615,-29.4418,-66.4523,-38.9772,17.9879,-64.1433,-35.3001,TrXFiducials024Closed
-34.9621,-59.8082,-22.36,15.2436,-56.1099,-15.1615,-29.4418,-66.4523,-38.9772,17.9879,-64.1433,-35.3001,-28.8017,-72.1626,-57.1407,20.2275,-71.0653,-56.5856,TrXFiducials024Closed
-29.4418,-66.4523,-38.9772,17.9879,-64.1433,-35.3001,-28.8017,-72.1626,-57.1407,20.2275,-71.0653,-56.5856,-28.3551,-77.3275,-76.4157,22.9984,-76.6258,-78.0749,TrXFiducials024Closed
-28.8017,-72.1626,-57.1407,20.2275,-71.0653,-56.5856,-28.3551,-77.3275,-76.4157,22.9984,-76.6258,-78.0749,-28.1672,-80.3532,-100.624,19.91,-80.2394,-104.029,TrXFiducials024Closed
-28.3551,-77.3275,-76.4157,22.9984,-76.6258,-78.0749,-28.1672,-80.3532,-100.624,19.91,-80.2394,-104.029,-31.355,-80.3579,-124.481,19.3081,-78.3417,-130.369,TrXFiducials024Closed
-28.1672,-80.3532,-100.624,19.91,-80.2394,-104.029,-31.355,-80.3579,-124.481,19.3081,-78.3417,-130.369,-32.5759,-76.469,-148.084,15.6313,-75.0946,-153.837,TrXFiducials024Closed
-31.355,-80.3579,-124.481,19.3081,-78.3417,-130.369,-32.5759,-76.469,-148.084,15.6313,-75.0946,-153.837,-33.2852,-72.0556,-171.703,11.0631,-71.3695,-173.679,TrXFiducials024Closed
-32.5759,-76.469,-148.084,15.6313,-75.0946,-153.837,-33.2852,-72.0556,-171.703,11.0631,-71.3695,-173.679,-33.8917,-64.4788,-192.589,6.71549,-64.9852,-197.416,TrXFiducials024Closed
-33.2852,-72.0556,-171.703,11.0631,-71.3695,-173.679,-33.8917,-64.4788,-192.589,6.71549,-64.9852,-197.416,-30.8978,-56.1312,-219.086,1.3142,-55.423,-224.081,TrXFiducials024Closed
-33.8917,-64.4788,-192.589,6.71549,-64.9852,-197.416,-30.8978,-56.1312,-219.086,1.3142,-55.423,-224.081,-44.3365,-45.4358,-244.484,9.84612,-40.5966,-251.014,TrXFiducials024Closed
-30.8978,-56.1312,-219.086,1.3142,-55.423,-224.081,-44.3365,-45.4358,-244.484,9.84612,-40.5966,-251.014,-49.9898,-39.248,-267.743,10.5213,-32.0367,-276.254,TrXFiducials024Closed
-16.1388,72.9491,92.5095,43.9068,51.6013,91.9273,-20.1211,62.4998,77.991,39.9245,41.152,77.4088,-22.7267,51.638,62.7054,34.5655,31.1152,63.6574,TrXFiducials027Closed
-20.1211,62.4998,77.991,39.9245,41.152,77.4088,-22.7267,51.638,62.7054,34.5655,31.1152,63.6574,-26.5214,42.3639,46.5858,28.2963,20.4402,44.456,TrXFiducials027Closed
-22.7267,51.638,62.7054,34.5655,31.1152,63.6574,-26.5214,42.3639,46.5858,28.2963,20.4402,44.456,-31.0472,33.6196,32.2156,21.8946,9.83126,26.093,TrXFiducials027Closed
-26.5214,42.3639,46.5858,28.2963,20.4402,44.456,-31.0472,33.6196,32.2156,21.8946,9.83126,26.093,-35.6133,25.4994,17.298,15.0189,2.06424,8.30115,TrXFiducials027Closed
-31.0472,33.6196,32.2156,21.8946,9.83126,26.093,-35.6133,25.4994,17.298,15.0189,2.06424,8.30115,-41.0705,17.6571,1.3783,8.38616,-3.82037,-8.78157,TrXFiducials027Closed
-35.6133,25.4994,17.298,15.0189,2.06424,8.30115,-41.0705,17.6571,1.3783,8.38616,-3.82037,-8.78157,-48.8956,13.0884,-15.0457,1.30138,-9.85279,-28.2052,TrXFiducials027Closed
-41.0705,17.6571,1.3783,8.38616,-3.82037,-8.78157,-48.8956,13.0884,-15.0457,1.30138,-9.85279,-28.2052,-55.5363,7.21055,-31.8255,-8.51721,-14.6235,-47.886,TrXFiducials027Closed
-48.8956,13.0884,-15.0457,1.30138,-9.85279,-28.2052,-55.5363,7.21055,-31.8255,-8.51721,-14.6235,-47.886,-63.1152,1.61681,-49.789,-18.2976,-18.4268,-64.6801,TrXFiducials027Closed
-55.5363,7.21055,-31.8255,-8.51721,-14.6235,-47.886,-63.1152,1.61681,-49.789,-18.2976,-18.4268,-64.6801,-71.0478,-2.25201,-67.7143,-30.2761,-21.3636,-83.8995,TrXFiducials027Closed
-63.1152,1.61681,-49.789,-18.2976,-18.4268,-64.6801,-71.0478,-2.25201,-67.7143,-30.2761,-21.3636,-83.8995,-76.6377,-4.33248,-86.6586,-39.2566,-20.9952,-101.296,TrXFiducials027Closed
-71.0478,-2.25201,-67.7143,-30.2761,-21.3636,-83.8995,-76.6377,-4.33248,-86.6586,-39.2566,-20.9952,-101.296,-87.0377,-4.68722,-114.718,-53.5509,-19.8317,-124.36,TrXFiducials027Closed
-76.6377,-4.33248,-86.6586,-39.2566,-20.9952,-101.296,-87.0377,-4.68722,-114.718,-53.5509,-19.8317,-124.36,-101.425,-7.31135,-137.041,-50.2984,-20.9821,-151.335,TrXFiducials027Closed
-87.0377,-4.68722,-114.718,-53.5509,-19.8317,-124.36,-101.425,-7.31135,-137.041,-50.2984,-20.9821,-151.335,-111.37,-8.13979,-162.318,-53.6976,-21.9925,-175.779,TrXFiducials027Closed
-101.425,-7.31135,-137.041,-50.2984,-20.9821,-151.335,-111.37,-8.13979,-162.318,-53.6976,-21.9925,-175.779,-122.533,-6.56329,-196.499,-52.3698,-23.1425,-201.642,TrXFiducials027Closed
-111.37,-8.13979,-162.318,-53.6976,-21.9925,-175.779,-122.533,-6.56329,-196.499,-52.3698,-23.1425,-201.642,-121.751,-0.742324,-227.571,-54.0151,-12.1021,-227.398,TrXFiducials027Closed
-122.533,-6.56329,-196.499,-52.3698,-23.1425,-201.642,-121.751,-0.742324,-227.571,-54.0151,-12.1021,-227.398,-122.738,1.87101,-259.49,-48.1237,-7.79429,-252.407,TrXFiducials027Closed
-56.5019,-55.3488,374.96,4.93428,-55.8232,377.327,-56.124,-57.9337,353.268,5.31214,-58.4081,355.635,-54.1189,-60.1399,326.415,4.06276,-61.3717,339.103,TrXFiducials028Closed
-56.124,-57.9337,353.268,5.31214,-58.4081,355.635,-54.1189,-60.1399,326.415,4.06276,-61.3717,339.103,-50.2986,-59.1193,300.418,7.77243,-66.0932,314.43,TrXFiducials028Closed
-54.1189,-60.1399,326.415,4.06276,-61.3717,339.103,-50.2986,-59.1193,300.418,7.77243,-66.0932,314.43,-44.6594,-55.6249,275.345,12.8247,-67.8883,289.146,TrXFiducials028Closed
-50.2986,-59.1193,300.418,7.77243,-66.0932,314.43,-44.6594,-55.6249,275.345,12.8247,-67.8883,289.146,-40.7687,-51.9756,254.754,20.6646,-67.8599,262.566,TrXFiducials028Closed
-44.6594,-55.6249,275.345,12.8247,-67.8883,289.146,-40.7687,-51.9756,254.754,20.6646,-67.8599,262.566,-39.5835,-46.6596,235.799,26.7582,-67.8104,235.891,TrXFiducials028Closed
-40.7687,-51.9756,254.754,20.6646,-67.8599,262.566,-39.5835,-46.6596,235.799,26.7582,-67.8104,235.891,-36.973,-44.1373,216.529,28.4897,-63.2407,209.473,TrXFiducials028Closed
-39.5835,-46.6596,235.799,26.7582,-67.8104,235.891,-36.973,-44.1373,216.529,28.4897,-63.2407,209.473,-33.9721,-49.4613,192.402,20.864,-60.5829,183.068,TrXFiducials028Closed
-36.973,-44.1373,216.529,28.4897,-63.2407,209.473,-33.9721,-49.4613,192.402,20.864,-60.5829,183.068,-39.1235,-47.2429,164.174,18.4209,-53.5125,155.195,TrXFiducials028Closed
-33.9721,-49.4613,192.402,20.864,-60.5829,183.068,-39.1235,-47.2429,164.174,18.4209,-53.5125,155.195,-33.0785,-49.9582,131.15,10.3752,-52.7762,125.17,TrXFiducials028Closed
-39.1235,-47.2429,164.174,18.4209,-53.5125,155.195,-33.0785,-49.9582,131.15,10.3752,-52.7762,125.17,-52.2369,-49.7689,101.556,28.8462,-48.0057,99.0716,TrXFiducials028Closed
-33.0785,-49.9582,131.15,10.3752,-52.7762,125.17,-52.2369,-49.7689,101.556,28.8462,-48.0057,99.0716,-53.1853,-54.0902,68.092,25.252,-46.6439,62.9836,TrXFiducials028Closed
-52.2369,-49.7689,101.556,28.8462,-48.0057,99.0716,-53.1853,-54.0902,68.092,25.252,-46.6439,62.9836,-55.2098,-50.7494,25.294,31.5845,-44.0787,20.8396,TrXFiducials028Closed
-43.1018,-12.9876,12.3067,12.6598,-4.846,17.7665,-41.6713,-20.3069,-11.7568,14.0903,-12.1653,-6.29701,-38.4589,-26.8542,-37.4694,13.7388,-20.2566,-28.7114,TrXFiducials007Closed
-41.6713,-20.3069,-11.7568,14.0903,-12.1653,-6.29701,-38.4589,-26.8542,-37.4694,13.7388,-20.2566,-28.7114,-34.2179,-28.7901,-63.543,16.3204,-24.5204,-47.9824,TrXFiducials007Closed
-38.4589,-26.8542,-37.4694,13.7388,-20.2566,-28.7114,-34.2179,-28.7901,-63.543,16.3204,-24.5204,-47.9824,-27.8791,-25.9747,-84.6674,22.5276,-27.9975,-68.7765,TrXFiducials007Closed
-34.2179,-28.7901,-63.543,16.3204,-24.5204,-47.9824,-27.8791,-25.9747,-84.6674,22.5276,-27.9975,-68.7765,-22.6947,-23.0507,-101.572,30.7623,-29.9865,-93.9833,TrXFiducials007Closed
-27.8791,-25.9747,-84.6674,22.5276,-27.9975,-68.7765,-22.6947,-23.0507,-101.572,30.7623,-29.9865,-93.9833,-20.766,-19.4441,-122.478,33.9947,-27.6351,-120.704,TrXFiducials007Closed
