SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS
-0.9655660758222266,0.00020203525901239827,0.9688296062841216,-0.8034701796135155,-0.0013021824599323362,1.0,-0.9530875370775072,0.0007522419525283651,0.9053388948485002,-0.790991640868796,-0.0007522419525283651,0.9365092885643783,-0.9304645391298021,0.00021401363405265937,0.8338439670248643,-0.7886577210387292,0.0008861335668672786,0.881025455377891
-0.9534093180795378,-0.0011134323408891768,0.966716407304768,-0.7803241194722756,-0.002719912835453228,1.0,-0.9292525924346859,-0.0016881498851228091,0.8903744759468485,-0.7778319713872902,-0.0009704635353750717,0.9407546365380516,-0.9163845984035625,0.006209526516497317,0.8333120159170042,-0.7630911201117982,0.0002824320803429784,0.8832374049598523
-0.9230634386868126,-0.0061843429079010605,0.946447077022548,-0.7621068883108093,-0.005421459237841457,1.0,-0.9093850643994669,0.0022107009163668005,0.8857910272795115,-0.7464377109260046,-0.004089660735812631,0.9388605388224702,-0.8860942168885826,0.01744390161368779,0.8233010354068663,-0.7207573848649922,-0.003959139648499465,0.8790111819107441
-0.9047960374798197,-0.004259709193497353,0.9434745530901543,-0.7312374025862576,-0.010970356187012937,1.0,-0.8799884685728382,0.01196549153378707,0.8769151555133631,-0.7038847500898378,-0.010831335446534415,0.9362531979597418,-0.867988758199381,0.02344628768497212,0.8209335628891856,-0.6754447108293509,-0.009350378391714544,0.8694138280583759
-0.8705322934711875,0.004006717399473876,0.9366217999835016,-0.6824381765520026,-0.020342280318237236,1.0,-0.8577155571442977,0.01626920811908231,0.8768285808562709,-0.6520617363727191,-0.018760489133921785,0.9286097286001046,-0.841974294461096,0.038370666859148854,0.813635988671048,-0.6337525549719987,-0.019543822925546066,0.8459317513130036
-0.8464061601632576,0.006186609960789543,0.9442379870153905,-0.6249419492706952,-0.03153612346976796,1.0,-0.829454730301617,0.029987199228128886,0.8761872330345047,-0.6052251825420913,-0.032379678913458144,0.9109658506251712,-0.8191236745803198,0.04840776288158639,0.8052271566370305,-0.6014130818336381,-0.020665769687278682,0.8167830148871434
-0.8167899167858536,0.02090212315260261,0.9618222597841634,-0.5706450721622675,-0.04756024357474104,1.0,-0.8054491451046677,0.041123038833268316,0.8839268300611104,-0.5664603920166428,-0.03470146383218481,0.896612111558965,-0.7919008418931218,0.04063070201100854,0.7988192367702509,-0.5824380769730854,-0.020394156589953628,0.7730464178910414
-0.7968116362361989,0.02629172765600052,0.9858519851178472,-0.5302652110797413,-0.05827606000595165,1.0,-0.7817010850436781,0.025742619724139392,0.8909306783524495,-0.5480852747956572,-0.042318984412410256,0.8621860087824641,-0.7768489775695201,0.06039438006891229,0.81805163436309,-0.5614887288689895,-0.011833683030690288,0.7609067055789946
-0.7598994230218196,0.0015885296127311603,1.0,-0.49768394888410766,-0.07480529741589056,0.9677363567464738,-0.7544533119022309,0.04048242022255115,0.918198973545135,-0.5127282776955462,-0.04058793110171806,0.854058260723605,-0.7563663429959802,0.059015169626159505,0.7898259909765564,-0.5505585820205936,0.014307109056166783,0.7341441207737578
-0.6880520948165546,0.00890543088277928,1.0,-0.42479212484142764,-0.07938736148580651,0.9301450832885546,-0.6901355551000736,0.02908923628614849,0.8601904529767279,-0.4659926765900164,-0.019601801123070587,0.7995479650116055,-0.7257920306674718,0.04128576071321076,0.6925829700249838,-0.5203836757756887,0.019708734726738578,0.6487699219464095
-0.6350501355624393,-0.016014657487490265,1.0,-0.3744765873041429,-0.07261960728752762,0.9295010915835367,-0.6765019738663954,-0.0018357923479672166,0.8051507286883609,-0.4377079321737003,-0.026919802420159844,0.7542166036617959,-0.7763488301702098,0.08124337482853444,0.6567533278807823,-0.3717048023235596,0.03614648471461047,0.5835721507737686
-0.6319359904444249,-0.04839626841994406,1.0,-0.3353529617217099,-0.07955069600526835,0.9367396399062573,-0.7559461325782724,0.05478834561107425,0.8156899130559978,-0.25337684532712657,-0.0012221484580170478,0.7247986370507827,-0.8946804454647013,0.048619880608634695,0.6283627812482503,-0.2554596620888423,0.02576088666352059,0.5183934156115275
-0.675842518140812,0.014425867817219077,1.0,-0.059714649931359165,-0.05424053736026671,0.8885712884879388,-0.8459246911159052,0.0068636007060208,0.7703451657187683,-0.06226809178270246,-0.021160521670915863,0.6355275544224357,-0.9395273583055501,0.03094675426554227,0.4902108256520886,-0.06786232594626397,0.023164836242400497,0.37866150225534423
-0.7451866815682662,-0.012587014393281706,1.0,0.27209314857386774,-0.04896567116175618,0.8249906440698678,-0.8666941192144925,0.018675794320589762,0.6363521801226583,0.26483116470934664,0.008573935609136855,0.49154783998940943,-0.7592307600918877,0.005939000184148493,0.20166548285509894,0.10885953545367129,0.028363955441162866,0.13237813741888346
