Equation version,Confusion matrix,Risk reduction,Sensitivity,Precision,Unexpl ICC,Expl ICC
Original,"[[44, 327], [16, 613]]",0.093161180841536,0.7333333333333333,0.11859838274932614,0.5001891345357099,0.5848391058784697
RR optimized,"[[60, 934], [0, 6]]",0.060362173038229376,1.0,0.060362173038229376,0.5003922630583533,0.6121724154812227
F-measure optimized,"[[50, 528], [10, 412]]",0.06280850784696371,0.8333333333333334,0.08650519031141868,0.5000835217290381,0.5476494431487244
