Landmark,RL,AP,SI
Max angle:,40.8926386714,TrXFiducials007-Z-C+-N,
T1L+,-0.157805245095,-0.00270791811191,0.786351373672
T1R+,0.102677145846,0.032624887592,0.809388133385
T2L+,-0.147488807086,-0.0252704463123,0.640823428547
T2R+,0.11386325357,-0.0126780182184,0.729000003308
T3L+,-0.154931106298,-0.0375366276243,0.533378610088
T3R+,0.0663462835709,-0.0440765873075,0.610054806645
T4L+,-0.11460575284,-0.0533715945407,0.430919094484
T4R+,0.107078524802,-0.0208910502423,0.496585191091
T5L+,-0.119645415381,-0.0918286786741,0.325294526505
T5R+,0.126523633084,-0.083090326193,0.426654270274
T6L+,-0.0407401461658,-0.000947121754928,0.250143414728
T6R+,0.156129280267,-0.0608668666562,0.334525144336
T7L+,-0.072433432696,-0.0177815139519,0.1780911289
T7R+,0.153825295841,-0.00964305229803,0.162881047955
T8L+,-0.0705445103269,-0.00829013632191,0.0733372921608
T8R+,0.202496499818,-0.0388790466245,0.0550107157786
T9L+,-0.0383258090676,-0.0336576593768,0.0222379213811
T9R+,0.246343697885,0.016842140392,-0.0394894388491
T10L+,-0.147714551725,0.0188229097034,-0.103271170542
T10R+,0.0942943740459,0.041098081114,-0.171584351256
T11L+,-0.101907636117,-0.0174883126207,-0.182083358967
T11R+,0.0692459274236,0.0523690808945,-0.263609166307
T12L+,-0.111358732367,0.00230107548806,-0.353844461473
T12R+,0.048052044896,0.0729820732501,-0.32709833033
L1L+,-0.22759762449,-0.0096952241682,-0.504054796517
L1R+,0.0763805928373,0.146961028247,-0.478487926521
L2L+,-0.247808825264,0.0583579030586,-0.637295063717
L2R+,0.0802664004866,0.122764331583,-0.656721172618
L3L+,-0.252087526971,0.0809100939938,-0.762896240425
L3R+,0.1458790837,0.12130913782,-0.722970483071
L4L+,-0.197724770137,0.0880255647929,-0.875135348419
L4R+,0.153798473086,0.153904916589,-0.860921470389
L5L+,-0.172038851878,0.103989337297,-1.0
L5R+,0.179484391345,0.169868230285,-0.98578612197
Max angle:,11.6338183692,TrXFiducials010-Z-C+-N,
T1L+,-0.163496643204,0.218361421284,0.580518824302
T1R+,0.0548446131607,0.206219093275,0.630745959736
T2L+,-0.142214032947,0.149742106176,0.53181258626
T2R+,0.0971744608267,0.108669507522,0.61754738239
T3L+,-0.127405465482,0.0853530933473,0.47104754276
T3R+,0.102002891832,0.0954751444551,0.485029115011
T4L+,-0.151378608834,0.00836879712871,0.395264776831
T4R+,0.0766419246275,0.0444984323261,0.447518455744
T5L+,-0.122899828928,-0.0238123730115,0.356950163515
T5R+,0.0929824557072,0.012354384104,0.356203588797
T6L+,-0.12723311586,-0.0953024304428,0.225335371624
T6R+,0.161205375254,-0.094030662596,0.285335449939
T7L+,-0.110836958778,-0.10663464974,0.171319414166
T7R+,0.158255281483,-0.144937976622,0.201237751223
T8L+,-0.103760450164,-0.158498169259,0.0778635141241
T8R+,0.147182265018,-0.174710434754,0.0691021608672
T9L+,-0.104002250741,-0.16910268364,-0.117911781828
T9R+,0.141607416759,-0.162425462723,-0.0641635414511
T10L+,-0.041431408747,-0.107247972506,-0.18546801109
T10R+,0.126439791562,-0.152048267057,-0.203252251178
T11L+,-0.0661659390903,-0.0707367424821,-0.284885623612
T11R+,0.1010185071,-0.102286260365,-0.320546852558
T12L+,-0.0453159111665,-0.0286280729376,-0.457871197029
T12R+,0.080718029497,-0.0417511755166,-0.434681368047
L1L+,-0.124707528322,0.0629016988923,-0.493759086876
L1R+,0.164121209588,0.0588343402865,-0.500940320246
L2L+,-0.145187454718,0.12495007049,-0.633272186649
L2R+,0.147705203496,0.122533257904,-0.629599143326
L3L+,-0.168294298336,0.0932109150489,-0.763500320259
L3R+,0.19299169276,0.153966446228,-0.752246379811
L4L+,-0.153791422142,0.130223271412,-0.877855241289
L4R+,0.203757225434,0.157366265131,-0.870548912324
L5L+,-0.149074850343,0.156080763065,-1.0
L5R+,0.208473797232,0.183223756784,-0.992693671035
Max angle:,56.8796759323,TrXFiducials011-Z-C+-N,
T1L+,-0.28635499517,-0.0415211583123,0.881604907824
T1R+,-0.0196509238136,0.0171035000103,0.934474998459
