Landmark,RL,AP,SI
L5R+,0.0942234,0.116839,-1.0
Max angle:,35.7733540595,T8,T4,TrXFiducials013-Z-C-N
T1L+,-0.168346,0.120343,0.419596
T1R+,0.0725528,0.150957,0.447813
T2L+,-0.13921,0.0647716,0.355681
T2R+,0.0742266,0.0914202,0.394683
T3L+,-0.112857,0.0149534,0.281946
T3R+,0.0832137,0.0400059,0.332862
T4L+,-0.0827707,-0.0153635,0.202235
T4R+,0.107686,-0.0154657,0.266356
T5L+,-0.0611791,-0.027871,0.132219
T5R+,0.132639,-0.0674138,0.178889
T6L+,-0.0430005,-0.0372854,0.0631017
T6R+,0.147563,-0.0998018,0.0726047
T7L+,-0.0482568,-0.0507402,-0.00466895
T7R+,0.144278,-0.104743,-0.0470678
T8L+,-0.0642051,-0.0552595,-0.0966952
T8R+,0.122511,-0.0812795,-0.154374
T9L+,-0.0867221,-0.0447578,-0.198857
T9R+,0.10337,-0.043601,-0.246025
T10L+,-0.103054,-0.0215026,-0.286056
T10R+,0.077374,-0.00517378,-0.330134
T11L+,-0.116458,0.0174089,-0.384375
T11R+,0.0546089,0.0467021,-0.407822
T12L+,-0.121695,0.0483084,-0.49119
T12R+,0.0277312,0.0753852,-0.500719
L1L+,-0.137753,0.0781,-0.591048
L1R+,0.0116737,0.105177,-0.600576
L2L+,-0.15381,0.107891,-0.690902
L2R+,-0.00438375,0.134968,-0.70043
L3L+,-0.169867,0.137683,-0.79076
L3R+,-0.0204412,0.16476,-0.800288
L4L+,-0.185925,0.167474,-0.890614
L4R+,-0.0364986,0.194551,-0.900142
L5L+,-0.201982,0.197266,-0.990472
L5R+,-0.0525563,0.224343,-1.0
Max angle:,4.77780730445,T12,T8,TrXFiducials014-Z-C-N
T1L+,-0.104116,0.119372,0.969534
T1R+,0.166712,0.139638,0.970087
T2L+,-0.106225,0.0785048,0.851295
T2R+,0.164603,0.098771,0.851848
T3L+,-0.108334,0.0376377,0.733052
T3R+,0.162494,0.057904,0.733604
T4L+,-0.110443,-0.00322935,0.614813
T4R+,0.160385,0.0170369,0.615365
T5L+,-0.110438,-0.0401877,0.502676
T5R+,0.156162,-0.0277388,0.49102
T6L+,-0.106297,-0.0727107,0.384494
T6R+,0.150813,-0.0575412,0.366839
T7L+,-0.103897,-0.0862736,0.258348
T7R+,0.145046,-0.0676795,0.240895
T8L+,-0.106403,-0.0880261,0.123244
T8R+,0.137613,-0.0634619,0.124416
T9L+,-0.123136,-0.0741502,-0.00084082
T9R+,0.129016,-0.056935,-0.00428925
T10L+,-0.11891,-0.0508159,-0.116485
T10R+,0.114527,-0.0328347,-0.11692
T11L+,-0.123557,0.00328046,-0.239842
T11R+,0.0990117,0.0114579,-0.252585
T12L+,-0.114386,0.0551084,-0.366626
T12R+,0.070013,0.0643563,-0.381147
L1L+,-0.180993,0.120981,-0.488173
L1R+,0.120619,0.125892,-0.509883
L2L+,-0.21086,0.161723,-0.6162
L2R+,0.126112,0.161749,-0.629114
L3L+,-0.223047,0.200022,-0.739828
L3R+,0.113925,0.200049,-0.752741
L4L+,-0.235235,0.238322,-0.863455
L4R+,0.101738,0.238349,-0.876368
L5L+,-0.247422,0.276622,-0.987082
L5R+,0.0895505,0.276648,-1.0
Max angle:,-29.6835505983,L4,T10,TrXFiducials015-Z-C-N
T1L+,-0.0256885,-0.134207,1.0
T1R+,0.179975,-0.13564,0.979421
T2L+,-0.0308178,-0.123321,0.901167
T2R+,0.174845,-0.124754,0.880588
T3L+,-0.0359472,-0.112435,0.802335
T3R+,0.169716,-0.113868,0.781755
T4L+,-0.0410766,-0.101549,0.703502
T4R+,0.164587,-0.102982,0.682923
T5L+,-0.0462061,-0.0906627,0.604669
T5R+,0.159457,-0.0920963,0.58409
T6L+,-0.0513355,-0.0797767,0.505837
T6R+,0.154328,-0.0812103,0.485257
T7L+,-0.0564649,-0.0688907,0.407005
T7R+,0.149198,-0.0703244,0.386426
T8L+,-0.0615942,-0.0580048,0.308173
T8R+,0.144069,-0.0594384,0.287593
T9L+,-0.0601473,-0.0542277,0.221005
T9R+,0.132363,-0.0414433,0.177096
T10L+,-0.0723494,-0.040849,0.142739
T10R+,0.103442,-0.00612654,0.0800343
T11L+,-0.0821355,-0.0277535,0.0375713
T11R+,0.0780193,0.0331127,-0.0168106
T12L+,-0.0870057,-0.0159231,-0.0758142
T12R+,0.0563673,0.0470925,-0.104828
L1L+,-0.146645,-0.0127458,-0.209309
L1R+,0.0604036,0.103561,-0.210691
L2L+,-0.150262,0.0145293,-0.339271
L2R+,0.0854725,0.118216,-0.297485
L3L+,-0.139536,0.0354942,-0.44765
L3R+,0.0961984,0.139181,-0.405864
L4L+,-0.12881,0.056459,-0.55603
L4R+,0.106924,0.160146,-0.514242
L5L+,-0.118083,0.0774241,-0.664406
L5R+,0.11765,0.181111,-0.622623
Max angle:,33.7606783579,T11,T5,TrXFiducials016-Z-C-N
T1L+,-0.24341,-0.104741,0.831798
T1R+,0.046516,-0.107431,0.887549
T2L+,-0.221091,-0.103756,0.718243
T2R+,0.0688348,-0.106447,0.773994
T3L+,-0.180627,-0.104719,0.590367
T3R+,0.0730093,-0.103517,0.674756
T4L+,-0.159072,-0.0914902,0.494784
T4R+,0.0977009,-0.101418,0.578412
T5L+,-0.122371,-0.0674856,0.396311
T5R+,0.138168,-0.101213,0.484101
T6L+,-0.104618,-0.0505001,0.313488
T6R+,0.180244,-0.0990216,0.385213
T7L+,-0.0828137,-0.0198864,0.225957
T7R+,0.205605,-0.100107,0.270692
T8L+,-0.0695252,0.00380731,0.134684
T8R+,0.210509,-0.0850394,0.149547
T9L+,-0.05365,0.00323042,0.0349592
T9R+,0.191787,-0.0682749,0.00476001
T10L+,-0.0485524,0.0396355,-0.0416076
T10R+,0.177705,-0.0362473,-0.101644
T11L+,-0.050343,0.0569823,-0.161766
T11R+,0.142295,0.0151351,-0.213885
T12L+,-0.0809878,0.0674646,-0.305816
T12R+,0.0955494,0.0489204,-0.34347
L1L+,-0.154803,0.128884,-0.415524
L1R+,0.144345,0.0955446,-0.469626
L2L+,-0.237383,0.125212,-0.527026
L2R+,0.143105,0.111606,-0.592485
L3L+,-0.28283,0.136906,-0.663044
L3R+,0.140389,0.133127,-0.7172
L4L+,-0.242636,0.132142,-0.825623
L4R+,0.0820514,0.140529,-0.851542
L5L+,-0.251708,0.13346,-0.974086
L5R+,0.0729798,0.141848,-1.0
Max angle:,34.4507850889,T10,T5,TrXFiducials019-Z-C-N
T1L+,-0.209787,-0.0752141,0.719456
T1R+,0.0355072,-0.0406256,0.750596
T2L+,-0.200557,-0.0848052,0.624841
T2R+,0.0447373,-0.0502169,0.655981
T3L+,-0.191327,-0.0943968,0.530226
T3R+,0.0539674,-0.0598084,0.561366
T4L+,-0.176725,-0.0993421,0.420002
T4R+,0.0578256,-0.0740457,0.482359
T5L+,-0.156519,-0.0846138,0.313912
T5R+,0.085921,-0.0874859,0.395746
T6L+,-0.121723,-0.0620335,0.225485
T6R+,0.120607,-0.0932092,0.298067
T7L+,-0.0949878,-0.0345245,0.133107
T7R+,0.14378,-0.0890263,0.192663
T8L+,-0.0800035,-0.00975226,0.0566053
T8R+,0.165555,-0.0733982,0.0717955
T9L+,-0.066416,0.0115859,-0.0167496
T9R+,0.173186,-0.0331573,-0.0442702
T10L+,-0.0683756,0.0236517,-0.0980431
T10R+,0.154495,-0.00299327,-0.161105
T11L+,-0.078304,0.0580962,-0.207971
T11R+,0.129547,0.0489434,-0.259089
T12L+,-0.0872495,0.0834562,-0.345947
T12R+,0.0990225,0.0887876,-0.382179
L1L+,-0.134612,0.129817,-0.458135
L1R+,0.120775,0.146567,-0.49639
L2L+,-0.180426,0.136085,-0.596852
L2R+,0.131989,0.170794,-0.614602
L3L+,-0.197726,0.151333,-0.725321
L3R+,0.114689,0.186041,-0.743066
L4L+,-0.215025,0.166581,-0.853786
L4R+,0.0973898,0.201289,-0.871535
L5L+,-0.232325,0.181828,-0.98225
L5R+,0.0800899,0.216536,-1.0
Max angle:,45.6779932405,T10,T6,TrXFiducials020-Z-C-N
T1L+,-0.119833,-0.0866346,0.809962
T1R+,0.118988,-0.0402307,0.813749
T2L+,-0.118495,-0.0942204,0.709501
T2R+,0.120326,-0.0478162,0.713287
T3L+,-0.117157,-0.101806,0.609043
T3R+,0.121664,-0.0554016,0.61283
T4L+,-0.104469,-0.10741,0.480349
T4R+,0.111652,-0.0649681,0.540605
T5L+,-0.0975131,-0.0895401,0.390576
T5R+,0.131667,-0.0748315,0.449134
T6L+,-0.069737,-0.0629693,0.284769
T6R+,0.161006,-0.0843728,0.350914
T7L+,-0.0443913,-0.033119,0.202172
T7R+,0.171368,-0.0878832,0.227273
T8L+,-0.0432287,-0.00753463,0.135746
T8R+,0.170183,-0.0722017,0.109734
T9L+,-0.0539672,0.00750467,0.0633455
T9R+,0.153072,-0.0462548,-0.0194909
T10L+,-0.0737579,0.0148534,-0.00495526
T10R+,0.118682,-0.0158547,-0.114643
T11L+,-0.106771,0.022247,-0.127005
T11R+,0.0839907,0.0345499,-0.210479
T12L+,-0.140697,0.0405627,-0.292074
T12R+,0.0266912,0.0530293,-0.316837
L1L+,-0.210357,0.0739907,-0.420974
L1R+,0.0708974,0.111193,-0.427277
L2L+,-0.220924,0.115154,-0.562835
L2R+,0.0743279,0.12745,-0.556378
L3L+,-0.237681,0.148183,-0.715667
L3R+,0.125453,0.155434,-0.687875
L4L+,-0.220497,0.17869,-0.857835
L4R+,0.142638,0.185941,-0.830044
L5L+,-0.203313,0.209197,-1.0
L5R+,0.159822,0.216448,-0.972208
Max angle:,10.7937582182,T12,T1,TrXFiducials022-Z-C-N
T1L+,-0.13292,0.173735,0.919218
T1R+,0.127478,0.185849,0.94236
T2L+,-0.126916,0.137871,0.820398
T2R+,0.133482,0.149985,0.84354
T3L+,-0.120912,0.102007,0.721578
T3R+,0.139486,0.114121,0.744717
T4L+,-0.114908,0.0661425,0.622759
T4R+,0.145491,0.078257,0.645897
T5L+,-0.113028,0.031419,0.529174
T5R+,0.155619,0.0412526,0.541838
T6L+,-0.11305,-0.000273281,0.434333
T6R+,0.167525,0.00813064,0.442721
T7L+,-0.102248,-0.0401622,0.328849
T7R+,0.173207,-0.0307739,0.330702
T8L+,-0.102936,-0.0775184,0.208148
T8R+,0.170558,-0.0645802,0.202732
T9L+,-0.114416,-0.0950307,0.0919611
T9R+,0.156861,-0.0800508,0.0721963
T10L+,-0.115788,-0.0947616,-0.033262
T10R+,0.140128,-0.0800715,-0.0446517
T11L+,-0.124354,-0.0751165,-0.166579
T11R+,0.115408,-0.0542102,-0.180647
T12L+,-0.112616,-0.0321345,-0.30089
T12R+,0.0758033,-0.00509526,-0.319747
L1L+,-0.154322,0.0298451,-0.437265
L1R+,0.0856714,0.0661416,-0.44764
L2L+,-0.18884,0.0659084,-0.55277
L2R+,0.0886206,0.109236,-0.562691
L3L+,-0.228793,0.0932996,-0.694868
L3R+,0.110405,0.140145,-0.710297
L4L+,-0.237877,0.12245,-0.839718
L4R+,0.10132,0.169295,-0.855146
L5L+,-0.246962,0.1516,-0.984572
L5R+,0.0922358,0.198446,-1.0
Max angle:,16.9745754196,T12,T1,TrXFiducials024-Z-C-N
T1L+,-0.159899,0.0943222,0.738547
T1R+,0.0802917,0.112015,0.772988
T2L+,-0.14013,0.0592123,0.650629
T2R+,0.100061,0.0769055,0.685065
T3L+,-0.12036,0.024103,0.562706
T3R+,0.119831,0.0417962,0.597142
T4L+,-0.0939505,-0.00768333,0.483203
T4R+,0.13296,0.00336323,0.500799
T5L+,-0.0908881,-0.0350022,0.396309
T5R+,0.143674,-0.0297526,0.398964
T6L+,-0.0887515,-0.0597118,0.304094
T6R+,0.156931,-0.0563548,0.296156
T7L+,-0.0878526,-0.0741872,0.188278
T7R+,0.142155,-0.0736427,0.171988
T8L+,-0.103103,-0.0742097,0.0741432
T8R+,0.139276,-0.0645639,0.0459741
T9L+,-0.108944,-0.0556046,-0.0387769
T9R+,0.121686,-0.0490293,-0.0663
T10L+,-0.112338,-0.0344903,-0.151773
T10R+,0.0998306,-0.0312079,-0.161227
T11L+,-0.115239,0.00175815,-0.251695
T11R+,0.0790311,-0.000664536,-0.274788
T12L+,-0.100916,0.0416943,-0.37846
T12R+,0.0531905,0.0450824,-0.402357
L1L+,-0.165209,0.0928625,-0.499967
L1R+,0.0940083,0.116014,-0.531207
L2L+,-0.192255,0.122466,-0.611241
L2R+,0.0972386,0.156966,-0.651959
L3L+,-0.204163,0.157743,-0.727256
L3R+,0.0853304,0.192243,-0.767974
L4L+,-0.216071,0.193021,-0.843267
L4R+,0.0734222,0.227521,-0.883985
L5L+,-0.227979,0.228298,-0.959282
L5R+,0.0615145,0.262798,-1.0
Max angle:,-27.0742857199,L5,T10,TrXFiducials027-Z-C-N
T1L+,0.113558,0.308192,0.775001
T1R+,0.429371,0.195912,0.77194
T2L+,0.0998538,0.251063,0.694609
T2R+,0.401186,0.143123,0.699616
T3L+,0.0798953,0.202286,0.609825
T3R+,0.368212,0.0869768,0.598622
T4L+,0.0560916,0.156295,0.534245
T4R+,0.334542,0.0311786,0.502042
T5L+,0.0320757,0.113586,0.455784
T5R+,0.298379,-0.00967254,0.408465
T6L+,0.00337326,0.0723389,0.372054
T6R+,0.263493,-0.040623,0.318617
T7L+,-0.0377833,0.0483097,0.285671
T7R+,0.22623,-0.072351,0.216458
T8L+,-0.0727103,0.0173948,0.197417
T8R+,0.174589,-0.0974428,0.112945
T9L+,-0.112572,-0.0120258,0.102936
T9R+,0.123149,-0.117446,0.0246156
T10L+,-0.154294,-0.0323741,0.00865708
T10R+,0.0601473,-0.132893,-0.0764698
T11L+,-0.183694,-0.0433165,-0.0909814
T11R+,0.0129136,-0.130955,-0.167968
T12L+,-0.238394,-0.0451822,-0.238562
T12R+,-0.0622679,-0.124836,-0.289274
L1L+,-0.314065,-0.0589839,-0.355971
L1R+,-0.0451614,-0.130886,-0.431151
L2L+,-0.366371,-0.0633414,-0.488917
L2R+,-0.0630395,-0.1362,-0.559717
L3L+,-0.425083,-0.0550497,-0.668695
L3R+,-0.0560559,-0.142249,-0.695745
L4L+,-0.42097,-0.0244339,-0.83212
L4R+,-0.0647094,-0.0841813,-0.83121
L5L+,-0.426162,-0.0106888,-1.0
L5R+,-0.0337235,-0.0615242,-0.962747
Max angle:,23.2258901511,T10,T5,TrXFiducials028-Z-C-N
T1L+,-0.162363,0.00908502,0.720118
T1R+,0.0669936,0.00731396,0.728955
T2L+,-0.160952,-0.000565072,0.639133
T2R+,0.068404,-0.00233613,0.647969
T3L+,-0.159542,-0.0102151,0.558151
T3R+,0.0698148,-0.0119862,0.566988
T4L+,-0.152056,-0.0184514,0.457902
T4R+,0.0651505,-0.0230501,0.505269
T5L+,-0.137794,-0.0146413,0.360848
T5R+,0.0789997,-0.0406768,0.413159
T6L+,-0.116742,-0.00159582,0.267244
T6R+,0.0978608,-0.0473783,0.318766
T7L+,-0.102217,0.0120279,0.190372
T7R+,0.127129,-0.0472723,0.219536
T8L+,-0.0977922,0.0318739,0.119609
T8R+,0.149878,-0.0470875,0.119952
T9L+,-0.0880465,0.0412901,0.0476688
T9R+,0.156342,-0.0300275,0.0213269
T10L+,-0.0768434,0.0214145,-0.0424034
T10R+,0.127874,-0.0201053,-0.0772496
T11L+,-0.0960749,0.0296963,-0.147786
T11R+,0.118753,0.00629031,-0.181306
T12L+,-0.0735074,0.0195594,-0.271073
T12R+,0.0887162,0.0090391,-0.293397
L1L+,-0.14503,0.0202661,-0.381553
L1R+,0.157673,0.0268486,-0.39083
L2L+,-0.148571,0.00413361,-0.506483
L2R+,0.144255,0.0319325,-0.525556
L3L+,-0.156129,0.0166057,-0.666258
L3R+,0.167896,0.0415089,-0.68289
L4L+,-0.148088,0.0276299,-0.824813
L4R+,0.175937,0.0525332,-0.841445
L5L+,-0.140046,0.0386541,-0.983368
L5R+,0.183979,0.0635575,-1.0
Max angle:,-45.7286569124,L4,T10,TrXFiducials029-Z-C-N
T1L+,-0.113715,-0.0502345,0.970892
T1R+,0.237977,-0.0243062,0.964209
T2L+,-0.114288,-0.0802037,0.86643
T2R+,0.237404,-0.0542756,0.859748
T3L+,-0.0981495,-0.103657,0.743197
T3R+,0.22012,-0.0907605,0.774052
T4L+,-0.0747026,-0.111178,0.617365
T4R+,0.230775,-0.127228,0.655147
T5L+,-0.0719835,-0.0890143,0.51128
T5R+,0.24785,-0.143202,0.532916
T6L+,-0.0451133,-0.0843358,0.420087
T6R+,0.265127,-0.161184,0.411526
T7L+,-0.0470545,-0.059503,0.318115
T7R+,0.260045,-0.15321,0.271268
T8L+,-0.0423806,-0.0409339,0.233214
T8R+,0.248227,-0.12515,0.133818
T9L+,-0.0699662,-0.0206656,0.153327
T9R+,0.206781,-0.0771034,0.00261957
T10L+,-0.0996693,-0.0181326,0.0556503
T10R+,0.131274,-0.0271577,-0.111934
T11L+,-0.130372,-0.0168914,-0.0718491
T11R+,0.0834934,0.0282852,-0.187515
T12L+,-0.204883,0.0118308,-0.230045
T12R+,0.000691278,0.0616202,-0.291182
L1L+,-0.278524,0.0308312,-0.361755
L1R+,-0.00716948,0.126442,-0.391874
L2L+,-0.315673,0.051331,-0.516642
L2R+,0.00753459,0.182885,-0.503153
L3L+,-0.327311,0.0897166,-0.689411
L3R+,0.0606649,0.213582,-0.631576
L4L+,-0.292627,0.161328,-0.853019
L4R+,0.109015,0.228886,-0.783917
L5L+,-0.263666,0.178813,-1.0
L5R+,0.174535,0.218243,-0.935873
Max angle:,-36.8793652747,L4,T10,TrXFiducials032-Z-C-N
T1L+,-0.113892,0.047287,0.986198
T1R+,0.155801,0.0756498,1.0
T2L+,-0.0985155,0.015126,0.87605
T2R+,0.171178,0.0434889,0.889852
T3L+,-0.0831391,-0.017035,0.765902
T3R+,0.186554,0.0113279,0.779703
T4L+,-0.0677626,-0.049196,0.655753
T4R+,0.201931,-0.020833,0.669555
T5L+,-0.0504695,-0.0781141,0.543768
T5R+,0.21539,-0.0562372,0.561244
T6L+,-0.0577496,-0.0882604,0.436177
T6R+,0.219884,-0.093216,0.418098
T7L+,-0.05814,-0.0913422,0.317289
T7R+,0.216454,-0.0978776,0.276089
T8L+,-0.0672605,-0.0913292,0.19528
T8R+,0.199353,-0.0765967,0.136889
T9L+,-0.0750638,-0.084347,0.0843286
T9R+,0.155649,-0.0480339,0.00740874
T10L+,-0.101509,-0.072262,-0.0242326
T10R+,0.119761,0.00169178,-0.110072
T11L+,-0.142271,-0.0413857,-0.151147
T11R+,0.0595066,0.0570169,-0.198732
T12L+,-0.158539,-0.00851242,-0.284076
T12R+,0.0139706,0.093507,-0.293138
L1L+,-0.234769,0.0166874,-0.428779
L1R+,0.0122815,0.162884,-0.403004
L2L+,-0.253589,0.0652699,-0.567852
L2R+,0.0211777,0.21393,-0.507325
L3L+,-0.25186,0.129311,-0.713835
L3R+,0.0836268,0.257243,-0.619685
L4L+,-0.21977,0.182988,-0.843006
L4R+,0.115716,0.31092,-0.748856
L5L+,-0.187681,0.236665,-0.972177
L5R+,0.147805,0.364597,-0.878027
Max angle:,25.6327742145,T12,T6,TrXFiducials033-Z-C-N
T1L+,-0.18593,-0.0434591,0.955543
T1R+,0.0458009,0.00917724,1.0
T2L+,-0.168362,-0.054375,0.86322
T2R+,0.0633686,-0.00173848,0.907677
T3L+,-0.150794,-0.0652905,0.770893
T3R+,0.0809363,-0.0126542,0.81535
T4L+,-0.133227,-0.0762065,0.67857
T4R+,0.098504,-0.0235699,0.723028
T5L+,-0.115659,-0.087122,0.586243
T5R+,0.116072,-0.0344856,0.630701
T6L+,-0.101928,-0.0840553,0.492022
T6R+,0.137476,-0.0593837,0.540272
T7L+,-0.0852873,-0.0712763,0.392291
T7R+,0.160531,-0.0821421,0.428003
T8L+,-0.0684728,-0.0532626,0.2933
T8R+,0.162131,-0.0905391,0.312869
T9L+,-0.0657348,-0.03996,0.207777
T9R+,0.16257,-0.0859175,0.199773
T10L+,-0.0692928,-0.0238281,0.124837
T10R+,0.155033,-0.0676375,0.0858874
T11L+,-0.075873,-0.00155497,0.0400644
T11R+,0.139247,-0.0302944,-0.00785783
T12L+,-0.0664138,0.011478,-0.0667691
T12R+,0.104026,0.00767031,-0.110017
L1L+,-0.0970987,0.0218611,-0.179699
L1R+,0.0759062,0.048346,-0.214935
L2L+,-0.172718,0.0482613,-0.26376
L2R+,0.114302,0.059601,-0.310408
L3L+,-0.241216,0.0730621,-0.37722
L3R+,0.115031,0.097612,-0.428512
L4L+,-0.265373,0.09581,-0.521275
L4R+,0.109169,0.11992,-0.552705
L5L+,-0.23305,0.10007,-0.655602
L5R+,0.106617,0.127768,-0.64529
Max angle:,-75.5883083695,L4,T7,TrXFiducials035-Z-C-N
T1L+,0.291206,0.21367,0.996347
T1R+,0.526407,0.113613,0.841992
T2L+,0.231544,0.175448,0.908622
T2R+,0.466745,0.0753912,0.754266
T3L+,0.171883,0.137226,0.820903
T3R+,0.407084,0.037169,0.666547
T4L+,0.125721,0.0843408,0.744908
T4R+,0.333923,0.0136092,0.567104
T5L+,0.0602583,0.0483496,0.679192
T5R+,0.270265,-0.00592316,0.463124
T6L+,-0.00459066,-0.00234086,0.602306
T6R+,0.184837,-0.0227047,0.365711
T7L+,-0.0572112,-0.0552269,0.506321
T7R+,0.116439,-0.0222161,0.287844
T8L+,-0.142722,-0.111673,0.3948
